LC,Quantity,candidate,a,b,R2_fit,n_points
LC1,F_plateau_kN,linear_theta,0.2499,0.22264,0.249,6
LC1,F_plateau_kN,sin_theta,0.15177,0.38555,0.2149,6
LC1,F_plateau_kN,cos_theta,0.61799,-0.27225,0.2619,6
LC1,F_plateau_kN,sin_half,0.23224,0.50265,0.2432,6
LC1,F_plateau_kN,sin_cos,0.73008,-0.59256,0.322,6
LC1,k0_kN_per_mm,linear_theta,-0.0789,0.13074,0.6956,6
LC1,k0_kN_per_mm,sin_theta,-0.14301,0.23417,0.6424,6
LC1,k0_kN_per_mm,cos_theta,0.13616,-0.1578,0.7128,6
LC1,k0_kN_per_mm,sin_half,-0.09008,0.29684,0.687,6
LC1,k0_kN_per_mm,sin_cos,0.19165,-0.3216,0.7683,6
LC1,IPF_kN,linear_theta,-0.08543,0.65808,0.6859,6
LC1,IPF_kN,sin_theta,-0.41378,1.18551,0.6408,6
LC1,IPF_kN,cos_theta,0.99646,-0.79318,0.7009,6
LC1,IPF_kN,sin_half,-0.14241,1.49568,0.6788,6
LC1,IPF_kN,sin_cos,1.26914,-1.60206,0.742,6
LC2,d_dens_mm,linear_theta,118.24786,-44.91171,0.4731,3
LC2,d_dens_mm,sin_theta,150.26564,-91.83956,0.4111,3
LC2,d_dens_mm,cos_theta,45.60099,51.51682,0.4904,3
LC2,d_dens_mm,sin_half,123.26145,-104.24786,0.4634,3
LC2,d_dens_mm,sin_cos,35.34704,84.69564,0.5658,3
LC2,F_plateau_kN,linear_theta,-0.19048,0.65481,0.8266,6
LC2,F_plateau_kN,sin_theta,-0.50449,1.16438,0.7524,6
LC2,F_plateau_kN,cos_theta,0.88785,-0.79267,0.852,6
LC2,F_plateau_kN,sin_half,-0.24558,1.48491,0.8144,6
LC2,F_plateau_kN,sin_cos,1.17738,-1.64032,0.9469,6
LC2,k0_kN_per_mm,linear_theta,-0.0125,0.04148,0.805,6
LC2,k0_kN_per_mm,sin_theta,-0.03415,0.07587,0.7754,6
LC2,k0_kN_per_mm,cos_theta,0.05555,-0.04972,0.8137,6
LC2,k0_kN_per_mm,sin_half,-0.01621,0.09452,0.801,6
LC2,k0_kN_per_mm,sin_cos,0.07132,-0.09739,0.8102,6
LC2,IPF_kN,linear_theta,-0.32552,0.88072,0.4897,6
LC2,IPF_kN,sin_theta,-0.8344,1.66983,0.5068,6
LC2,IPF_kN,cos_theta,1.10936,-1.03703,0.4776,6
LC2,IPF_kN,sin_half,-0.41022,2.01928,0.4933,6
LC2,IPF_kN,sin_cos,1.35545,-1.83973,0.3901,6
