Angle_deg,LC,EA@80mm_exp_J,EA@80mm_pred_J,EA_pred_std_J,EA_error_pct,IPF_exp_kN,IPF_pred_kN,IPF_pred_std_kN,IPF_error_pct
45,LC1,28.34,28.42,0.12,0.26,0.468,0.468,0.002,0.13
50,LC1,28.17,27.20,0.34,3.45,0.490,0.471,0.006,3.82
55,LC1,23.41,24.96,0.55,6.60,0.440,0.475,0.022,7.97
60,LC1,30.24,27.30,1.01,9.72,0.672,0.553,0.037,17.62
65,LC1,26.62,27.54,0.44,3.46,0.580,0.587,0.014,1.29
70,LC1,33.81,33.54,0.18,0.81,0.768,0.761,0.008,1.01
45,LC2,25.17,24.94,0.12,0.92,0.390,0.386,0.004,1.02
50,LC2,28.78,30.07,0.45,4.47,0.448,0.430,0.008,4.02
55,LC2,34.14,33.22,0.36,2.70,0.772,0.857,0.120,11.12
60,LC2,37.90,36.68,0.36,3.22,0.490,0.526,0.122,7.34
65,LC2,37.12,41.55,1.26,11.95,0.539,0.586,0.047,8.64
70,LC2,63.40,60.41,0.55,4.72,0.810,0.769,0.008,5.08
MAPE_LC1,LC1,,,,4.05,,,,5.31
MAPE_LC2,LC2,,,,4.66,,,,6.20
MAPE_ALL,ALL,,,,4.36,,,,5.75
